service_display_name,name,quantity,region,service_id,sku,"total_price, USD",notes
Instances 3  (Compute Engine),N2 Instance Core running in APAC,14600.0,asia-east1,6F81-5844-456A,1B8C-264F-447E,534.3892,
Instances 3  (Compute Engine),N2 Instance Ram running in APAC,58400.0,asia-east1,6F81-5844-456A,2297-D3C7-1085,286.5104,
Instances 3  (Compute Engine),SSD backed PD Capacity,100.0,asia-east1,6F81-5844-456A,B188-61DD-52E4,17,
mc1 (Compute Engine),E2 Instance Core running in Americas,1277.5,us-central1,6F81-5844-456A,CF4E-A0C7-E3BF,27.86431,
mc1 (Compute Engine),E2 Instance Ram running in Americas,5110.0,us-central1,6F81-5844-456A,F449-33EC-A5EF,14.93924,
mc1 (Compute Engine),Balanced PD Capacity,70.0,us-central1,6F81-5844-456A,6AE1-525F-8B80,7,
mc2 (Compute Engine),E2 Instance Core running in EMEA,1277.5,europe-west1,6F81-5844-456A,9FE0-8F60-A9F0,30.65153,
mc2 (Compute Engine),E2 Instance Ram running in EMEA,5110.0,europe-west1,6F81-5844-456A,F268-6CE7-AC16,16.43422,
mc2 (Compute Engine),Balanced PD Capacity,70.0,europe-west1,6F81-5844-456A,6AE1-525F-8B80,7,
mc3 (Compute Engine),E2 Instance Core running in APAC,1095.0,asia-east1,6F81-5844-456A,92C8-7C92-6AEF,27.65464,
mc3 (Compute Engine),E2 Instance Ram running in APAC,4380.0,asia-east1,6F81-5844-456A,FD4D-A383-8DAB,14.82691,
mc3 (Compute Engine),Balanced PD Capacity,60.0,asia-east1,6F81-5844-456A,6AE1-525F-8B80,6,
pay1 (Compute Engine),C2D AMD Instance Core running in Americas,1460.0,us-central1,6F81-5844-456A,5E86-72F2-5688,43.16198,
pay1 (Compute Engine),C2D AMD Instance Ram running in Americas,5840.0,us-central1,6F81-5844-456A,C79B-C925-A9B9,23.12056,
,Confidential Computing Instance Core,1460.0,global,6F81-5844-456A,78B2-4C77-BFD9,7.99934,
,Confidential Computing Instance RAM,8.0,global,6F81-5844-456A,2D72-3D0A-7F71,4.28773,
pay1 (Compute Engine),Balanced PD Capacity,10.0,us-central1,6F81-5844-456A,6AE1-525F-8B80,1,
Instances 4  (Compute Engine),C2D AMD Instance Core running in EMEA,1460.0,europe-west1,6F81-5844-456A,A285-6828-844B,47.52446,
Instances 4  (Compute Engine),C2D AMD Instance Ram running in EMEA,5840.0,europe-west1,6F81-5844-456A,440B-D83B-3002,25.45656,
,Confidential Computing Instance Core,1460.0,global,6F81-5844-456A,78B2-4C77-BFD9,7.99934,
,Confidential Computing Instance RAM,8.0,global,6F81-5844-456A,2D72-3D0A-7F71,4.28773,
Instances 4  (Compute Engine),Balanced PD Capacity,10.0,europe-west1,6F81-5844-456A,6AE1-525F-8B80,1,
GPU  (Compute Engine),A2 Instance Core running in Americas,8760.0,us-central1,6F81-5844-456A,2922-40C5-B19F,276.91236,
GPU  (Compute Engine),A2 Instance Ram running in Americas,62050.0,us-central1,6F81-5844-456A,2390-DCAF-DA38,262.90585,
GPU  (Compute Engine),Nvidia Tesla A100 GPU running in Americas,730.0,us-central1,6F81-5844-456A,039F-D0DA-4055,2141.75284,
GPU  (Compute Engine),Balanced PD Capacity,10.0,us-central1,6F81-5844-456A,6AE1-525F-8B80,1,
BATCH PROCESSING (Compute Engine),E2 Instance Core running in Americas,182.5,us-central1,6F81-5844-456A,CF4E-A0C7-E3BF,3.98062,
BATCH PROCESSING (Compute Engine),E2 Instance Ram running in Americas,730.0,us-central1,6F81-5844-456A,F449-33EC-A5EF,2.13418,
BATCH PROCESSING (Compute Engine),Balanced PD Capacity,10.0,us-central1,6F81-5844-456A,6AE1-525F-8B80,1,
Editions (BigQuery),BigQuery Enterprise Edition for Europe (multi-region),50.0,eu,16B8-3DDA-9F10,805D-FF80-7BF5,2409,
Editions (BigQuery),BigQuery Enterprise Edition 1 Year for Europe (multi-region),100.0,eu,16B8-3DDA-9F10,03F1-F06C-1C4D,3854.4,
Editions (BigQuery),Active Logical Storage,15.0,eu,16B8-3DDA-9F10,947D-3B46-7781,307,
MySQL (Cloud SQL),Cloud SQL for MySQL: Zonal - vCPU in Americas,11680.0,us-central1,9662-B51E-5089,741F-D668-2417,482.384,
MySQL (Cloud SQL),Cloud SQL for MySQL: Zonal - RAM in Americas,44092.0,us-central1,9662-B51E-5089,49E9-5D00-B807,308.644,
MySQL (Cloud SQL),Cloud SQL for MySQL: Zonal - Standard storage in Americas,3650.0,us-central1,9662-B51E-5089,F0A1-2B08-FA36,870.4,
Bigtable,Server Node,2920.0,us-central1,C3BE-24A5-0975,04F7-CAFF-B2CA,1898,
Bigtable,SSD storage,10.0,us-central1,C3BE-24A5-0975,B307-B7C9-B4CC,1740.8,
,Backup storage,0.0,us-central1,C3BE-24A5-0975,E82F-4427-05A9,0,
Cloud Load Balancing (Networking),Global External Application Load Balancer Inbound Data Processing for Iowa (us-central1),100.0,,E505-1604-58F8,C134-B6DB-FFCB,0.8,
Cloud Load Balancing (Networking),Global External Application Load Balancer Outbound Data Processing for Iowa (us-central1),100.0,,E505-1604-58F8,1481-64C8-6805,0.8,
Cloud Load Balancing (Networking),Cloud Load Balancer Forwarding Rule Minimum Global,1.0,,E505-1604-58F8,DEE3-C42E-3E4D,18.25,
Cloud CDN,Networking Cloud CDN Traffic Cache Data Transfer to Asia,0.0,global,E505-1604-58F8,6C5E-44C4-703A,0,
Cloud CDN,Networking Cloud CDN Traffic Cache Data Transfer to China,0.0,global,E505-1604-58F8,B932-7C57-E43B,0,
Cloud CDN,Networking Cloud CDN Traffic Cache Data Transfer to Europe,0.0,global,E505-1604-58F8,2A8D-245C-0E0B,0,
Cloud CDN,Networking Cloud CDN Traffic Cache Data Transfer to North America,4.0,global,E505-1604-58F8,15AE-8E35-C42B,0.32,
Cloud CDN,Networking Cloud CDN Traffic Cache Data Transfer to Oceania,0.0,global,E505-1604-58F8,DA37-3BF1-2FEB,0,
Cloud CDN,Networking Cloud CDN Traffic Cache Data Transfer to Latin America,0.0,global,E505-1604-58F8,E141-D225-4599,0,
Cloud CDN,Networking Cloud CDN Traffic Cache Data Transfer to Other,0.0,global,E505-1604-58F8,620D-FE53-4BA9,0,
Cloud CDN,Network CDN North America Intra-Region Cache Fill,500.0,global,E505-1604-58F8,AAEB-2D19-B7E5,5,
Cloud CDN,Network CDN Cache Fill from North America to Other Destinations,0.0,global,E505-1604-58F8,A0B3-CD45-6901,0,
Cloud CDN,Networking Cloud Cdn Cache Lookups,30000000,global,E505-1604-58F8,4762-E550-B5D2,22.5,
Cloud Logging (Cloud Operations),Log Storage cost,100.0,global,5490-F7B7-8DF6,143F-A1B0-E0BE,25,
Cloud Logging (Cloud Operations),Log Retention cost,200.0,global,5490-F7B7-8DF6,F4AE-5A52-ACE3,2,
Cloud Monitoring (Cloud Operations),Metric Volume,4000.0,global,58CD-E7C3-72CA,A924-09D0-8854,993.3,
Cloud KMS for pay (Cloud KMS),Active software asymmetric key versions,4.0,global,EE2F-D110-890C,7907-37BC-DD97,0.24,
Cloud KMS for pay (Cloud KMS),Software asymmetric cryptographic operations,15000.0,global,EE2F-D110-890C,7F48-010C-D5A3,0.045,
Cloud Storage,Network Data Transfer GCP Replication within Northern America,10000.0,us,95FF-2EF5-5EA1,AED0-3315-7B11,200,
Cloud Storage,Archive Storage US Multi-region,10000.0,us,95FF-2EF5-5EA1,1EA2-2E06-552E,24,
,,,,,,,
,,,,,Total Price:,17008.67699,
,,,,,,,
"Prices are in US dollars, effective date is 2024-11-02T01:07:40.235Z",,,,,,,
,,,,,,,
The estimated fees provided by Google Cloud Pricing Calculator are for discussion purposes only and are not binding on either you or Google. Your actual fees may be higher or lower than the estimate.,,,,,,,
,,,,,,,
Url to the estimate:,https://cloud.google.com/calculator?dl=CjhDaVJoTTJKbVltWTFZeTAxTnpFMkxUUTNPRGd0WVRnNVlTMWlZamRoTlRVeFpXSmhZVFlRQVE9PRokNzYzOTFEOEItRDFGNS00MDVFLTk1NjUtNTlBNzA3MTRCNkJF,,,,,,
